order,#,test,bird,block,area,perimeter,height,width,areaMM,perimeterMM,heightMM,widthMM
61,1,Size1,D3R,B1,45594,987.3279881,218,314,327.4490089,83.6718634,18.47457627,26.61016949
62,2,Size1,D3R,B1,58311.5,1251.432667,454,220,418.7841138,106.0536159,38.47457627,18.6440678
63,1,Size1,D3R,B2,93030.5,1374.104681,301,448,668.1305659,116.4495493,25.50847458,37.96610169
64,2,Size1,D3R,B2,252096,2664.704747,1050,295,1810.51422,225.8224362,88.98305085,25
65,1,Size1,D3R,B3,45176.5,922.2569202,228,279,324.4505889,78.15736612,19.3220339,23.6440678
66,2,Size1,D3R,B3,67268.5,1120.967598,301,317,483.1118931,94.99725403,25.50847458,26.86440678
67,1,Size1,D3R,B4,120977,1640.170695,525,333,868.8379776,138.9975165,44.49152542,28.22033898
68,2,Size1,D3R,B4,65522,1492.160588,623,166,470.5688021,126.4542871,52.79661017,14.06779661
69,1,Size1,D3R,B5,84099.5,1425.217378,499,239,603.9895145,120.7811338,42.28813559,20.25423729
70,2,Size1,D3R,B5,95817,1882.655977,157,776,688.1427751,159.5471167,13.30508475,65.76271186
71,1,Size1,D3R,B6,39328.5,857.2619728,170,288,282.4511635,72.64931973,14.40677966,24.40677966
72,2,Size1,D3R,B6,48999,1225.185853,170,461,351.9031887,103.8293096,14.40677966,39.06779661
73,1,Size1,D3R,B7,87209,1453.151363,464,315,626.3214594,123.1484206,39.3220339,26.69491525
74,2,Size1,D3R,B7,132865.5,1906.045804,621,413,954.2193335,161.5293054,52.62711864,35
75,1,Size1,D3R,B8,25903.5,714.5168064,254,136,186.0349038,60.55227173,21.52542373,11.52542373
76,2,Size1,D3R,B8,145306.5,1988.947387,571,330,1043.568658,168.5548633,48.38983051,27.96610169
77,1,Size1,D3R,B9,109352,1693.734185,91,867,785.3490376,143.5367954,7.711864407,73.47457627
78,2,Size1,D3R,B9,58764,1156.808217,363,250,422.0338983,98.03459462,30.76271186,21.18644068
79,1,Size1,D3R,Bl10,109672,2461.969685,132,1033,787.6472278,208.6414988,11.18644068,87.54237288
80,2,Size1,D3R,Bl10,62772,1196.440686,384,251,450.8187302,101.3932785,32.54237288,21.27118644
81,1,Size1,D4R,B1,51592,1458.788008,251,45,370.525711,123.6261023,21.27118644,3.813559322
82,2,Size1,D4R,B1,121767.5,1682.403232,478,481,874.5152255,142.5765451,40.50847458,40.76271186
83,1,Size1,D4R,B2,27398,1040.239675,426,104,196.7681701,88.1559047,36.10169492,8.813559322
84,2,Size1,D4R,B2,99671,1506.714852,481,304,715.821603,127.6876993,40.76271186,25.76271186
85,1,Size1,D4R,B3,188696,2153.959579,1000,362,1355.185292,182.5389474,84.74576271,30.6779661
86,2,Size1,D4R,B3,66197.5,1254.589962,222,485,475.4201379,106.3211832,18.81355932,41.10169492
87,3,Size1,D4R,B3,499558,3928.282514,1694,408,3587.747774,332.9052978,143.559322,34.57627119
88,1,Size1,D4R,B4,670277.5,4423.112152,1103,667,4813.828641,374.8400128,93.47457627,56.52542373
89,2,Size1,D4R,B4,567576,4701.468371,1793,338,4076.242459,398.429523,151.9491525,28.6440678
90,1,Size1,D4R,B5,192637,2138.444862,928,274,1383.48894,181.2241408,78.6440678,23.22033898
91,2,Size1,D4R,B5,319814.5,3468.59831,357,1312,2296.857943,293.9490093,30.25423729,111.1864407
92,3,Size1,D4R,B5,295380,3106.213536,1035,411,2121.373169,263.2384352,87.71186441,34.83050847
93,4,Size1,D4R,B5,628900,4435.458264,1705,585,4516.661879,375.8862935,144.4915254,49.57627119
94,1,Size1,D4R,B6,95813.5,1674.531085,694,205,688.1176386,141.909414,58.81355932,17.37288136
95,2,Size1,D4R,B6,86907,1687.74429,171,671,624.1525424,143.0291771,14.49152542,56.86440678
96,3,Size1,D4R,B6,158135.5,2204.226605,895,302,1135.704539,186.7988648,75.84745763,25.59322034
97,4,Size1,D4R,B6,208573.5,2137.280429,469,599,1497.942402,181.1254601,39.74576271,50.76271186
98,1,Size1,D4R,B7,526816.5,3912.019664,1436,615,3783.514076,331.5270902,121.6949153,52.11864407
99,2,Size1,D4R,B7,632358.5,3815.069314,1166,623,4541.500287,323.3109588,98.81355932,52.79661017
100,3,Size1,D4R,B7,645368.5,4327.804376,463,1715,4634.936082,366.7630827,39.23728814,145.3389831
101,1,Size1,Emma,B1,175225,2232.704747,296,850,1258.438667,189.2122667,25.08474576,72.03389831
102,2,Size1,Emma,B1,147633,1922.739236,283,727,1060.277219,162.944003,23.98305085,61.61016949
103,3,Size1,Emma,B1,262828.5,2576.795147,472,880,1887.593364,218.37247,40,74.57627119
104,4,Size1,Emma,B1,380477,3012.861161,780,786,2732.526573,255.3272171,66.10169492,66.61016949
105,1,Size1,Emma,B2,239192,2306.597101,441,739,1717.839701,195.4743306,37.37288136,62.62711864
106,2,Size1,Emma,B2,50099,1133.612259,179,408,359.8032175,96.06883551,15.16949153,34.57627119
107,3,Size1,Emma,B2,481141,3826.091611,442,1362,3455.479747,324.2450518,37.45762712,115.4237288
108,4,Size1,Emma,B2,400622.5,3015.761535,401,1034,2877.208417,255.5730114,33.98305085,87.62711864
109,5,Size1,Emma,B2,387713,2940.396091,501,964,2784.494398,249.1861094,42.45762712,81.69491525
110,1,Size1,Emma,B3,225968,2221.224517,504,734,1622.866992,188.2393659,42.71186441,62.20338983
111,2,Size1,Emma,B3,117663,2301.758568,86,877,845.0373456,195.0642854,7.288135593,74.3220339
112,3,Size1,Emma,B3,110415,1754.607206,660,271,792.9833381,148.695526,55.93220339,22.96610169
113,4,Size1,Emma,B3,225566,2438.655976,986,322,1619.979891,206.6657607,83.55932203,27.28813559
114,1,Size1,Emma,B4,128133.5,1709.300638,642,285,920.2348463,144.8559863,54.40677966,24.15254237
115,2,Size1,Emma,B4,229572,2522.268235,484,801,1648.750359,213.7515454,41.01694915,67.88135593
116,3,Size1,Emma,B4,197173,2154.645872,626,489,1416.065786,182.5971078,53.05084746,41.44067797
117,1,Size1,Emma,B5,153168,2046.004176,238,739,1100.028727,173.3901844,20.16949153,62.62711864
118,2,Size1,Emma,B5,135205,1745.533173,374,559,971.0212583,147.9265401,31.69491525,47.37288136
119,3,Size1,Emma,B5,326392.5,2692.937283,826,497,2344.100115,228.215024,70,42.11864407
120,4,Size1,Emma,B5,227115.5,2842.829637,412,987,1631.108159,240.9177659,34.91525424,83.6440678
121,1,Size1,Joe,B1,209278.5,2510.094576,284,1051,1503.005602,212.7198793,24.06779661,89.06779661
122,2,Size1,Joe,B1,100700,1916.052945,226,953,723.2117208,162.3773682,19.15254237,80.76271186
123,3,Size1,Joe,B1,118325.5,1862.285478,259,730,849.7953174,157.8208032,21.94915254,61.86440678
124,4,Size1,Joe,B1,90838,1521.661029,242,522,652.3843723,128.9543245,20.50847458,44.23728814
125,5,Size1,Joe,B1,114048.5,2117.113908,203,958,819.0785694,179.4164329,17.20338983,81.18644068
126,1,Size1,Joe,B2,346940,3969.659275,394,1455,2491.669061,336.411803,33.38983051,123.3050847
127,2,Size1,Joe,B2,326313,2647.557558,877,602,2343.529158,224.3692846,74.3220339,51.01694915
128,3,Size1,Joe,B2,442809.5,3572.584031,402,1318,3180.188883,302.7613585,34.06779661,111.6949153
129,4,Size1,Joe,B2,108512.5,2119.016368,910,166,779.3198793,179.5776583,77.11864407,14.06779661
130,5,Size1,Joe,B2,125274.5,1851.90367,709,265,899.7019535,156.940989,60.08474576,22.45762712
131,1,Size1,Joe,B3,154002,1924.915862,675,364,1106.018386,163.1284629,57.20338983,30.84745763
132,2,Size1,Joe,B3,161680.5,2512.898617,1103,194,1161.164177,212.9575099,93.47457627,16.44067797
133,3,Size1,Joe,B3,487888.5,4137.034821,401,1554,3503.939242,350.5961713,33.98305085,131.6949153
134,4,Size1,Joe,B3,486003,4855.364899,1715,521,3490.397874,411.4716016,145.3389831,44.15254237
135,5,Size1,Joe,B3,122935,1598.808216,339,484,882.9000287,135.4922217,28.72881356,41.01694915
136,6,Size1,Joe,B3,908037,5037.056243,564,1919,6521.38035,426.8691731,47.79661017,162.6271186
137,1,Size1,Joe,B4,169245,2096.410371,307,526,1215.491238,177.6618958,26.01694915,44.57627119
138,2,Size1,Joe,B4,484749,3782.70892,761,1195,3481.391841,320.5685526,64.49152542,101.2711864
139,3,Size1,Joe,B4,180163.5,2066.663116,443,669,1293.906205,175.1409421,37.54237288,56.69491525
140,4,Size1,Joe,B4,622203,3972.576892,511,1388,4468.565068,336.6590587,43.30508475,117.6271186
141,1,Size1,Stella,B1,46052,1030.239675,304,225,330.7382936,87.30844704,25.76271186,19.06779661
142,2,Size1,Stella,B1,29600,824.5584363,226,173,212.5825912,69.87783358,19.15254237,14.66101695
143,3,Size1,Stella,B1,71446,1329.175748,488,245,513.1140477,112.6420125,41.3559322,20.76271186
144,4,Size1,Stella,B1,105266.5,1949.95244,299,689,756.0076128,165.2502068,25.33898305,58.38983051
145,5,Size1,Stella,B1,85275.5,1464.045805,475,290,612.4353634,124.0716784,40.25423729,24.57627119
146,1,Size1,Stella,B2,29526.5,767.0609627,192,211,212.0547257,65.00516633,16.27118644,17.88135593
147,2,Size1,Stella,B2,128504.5,1845.231658,660,292,922.8993105,156.3755642,55.93220339,24.74576271
148,3,Size1,Stella,B2,51196,1111.470124,370,209,367.6817007,94.19238339,31.3559322,17.71186441
149,4,Size1,Stella,B2,160948,1776.229571,469,417,1155.903476,150.5279297,39.74576271,35.33898305
150,5,Size1,Stella,B2,99064,1442.523946,271,499,711.4622235,122.247792,22.96610169,42.28813559
151,6,Size1,Stella,B2,368271.5,2846.795147,830,881,2644.868572,241.253826,70.33898305,74.66101695
152,1,Size1,Stella,B3,59608,1188.582821,360,301,428.0953749,100.7273577,30.50847458,25.50847458
153,2,Size1,Stella,B3,19605,683.0193325,176,189,140.8000575,57.88299428,14.91525424,16.01694915
154,3,Size1,Stella,B3,55289.5,1032.943212,224,290,397.0805803,87.53756033,18.98305085,24.57627119
155,1,Size1,Stella,B4,26841,729.8477596,207,183,192.7678828,61.85150505,17.54237288,15.50847458
156,2,Size1,Stella,B4,31591.5,957.6295043,306,200,226.8852341,81.15504274,25.93220339,16.94915254
157,1,Size1,Stella,B5,22184.5,653.0020876,162,188,159.3256248,55.33915997,13.72881356,15.93220339
158,2,Size1,Stella,B5,18667,734.7005715,91,288,134.0634875,62.2627603,7.711864407,24.40677966
159,3,Size1,Stella,B5,76396,1331.494509,404,274,548.664177,112.8385177,34.23728814,23.22033898
160,4,Size1,Stella,B5,61135,1326.666082,310,407,439.0620511,112.429329,26.27118644,34.49152542
161,1,Size2,Anton,B1,14316,873.5289991,66,353,102.815283,74.02788128,5.593220339,29.91525424
162,2,Size2,Anton,B1,328991,3593.537348,325,1427,2362.762137,304.5370634,27.54237288,120.9322034
163,3,Size2,Anton,B1,76308.5,1699.584909,181,657,548.0357656,144.0326194,15.33898305,55.6779661
164,4,Size2,Anton,B1,47731,1345.86204,141,549,342.7966102,114.056105,11.94915254,46.52542373
165,5,Size2,Anton,B1,270876.5,3235.055034,248,1305,1945.392847,274.1572063,21.01694915,110.5932203
166,1,Size2,Anton,B2,34182,1019.636644,119,345,245.4898018,86.40988504,10.08474576,29.23728814
167,2,Size2,Anton,B2,87055.5,1355.90367,344,366,625.2190463,114.9070907,29.15254237,31.01694915
168,3,Size2,Anton,B2,131505.5,2355.682449,892,235,944.4520253,199.6341059,75.59322034,19.91525424
169,4,Size2,Anton,B2,84446,1544.607207,529,250,606.4780236,130.8989158,44.83050847,21.18644068
170,5,Size2,Anton,B2,88064,1686.087435,659,186,632.4619362,142.8887657,55.84745763,15.76271186
171,6,Size2,Anton,B2,155485,2076.822498,457,647,1116.669061,176.0019066,38.72881356,54.83050847
172,1,Size2,Anton,B3,9508.5,599.2619733,247,62,68.2885665,50.78491299,20.93220339,5.254237288
173,2,Size2,Anton,B3,20285,642.9015824,156,183,145.6837116,54.48318495,13.22033898,15.50847458
174,3,Size2,Anton,B3,28395,896.7493424,83,231,203.9284688,75.99570699,7.033898305,19.57627119
175,4,Size2,Anton,B3,105337.5,1663.58491,532,302,756.5175237,140.981772,45.08474576,25.59322034
176,5,Size2,Anton,B3,41385,1070.925968,348,158,297.2206263,90.75643794,29.49152542,13.38983051
177,6,Size2,Anton,B3,100573,1486.773726,398,321,722.2996265,125.9977734,33.72881356,27.20338983
178,1,Size2,Anton,B4,4038,298.9949476,57,90,29.00028727,25.33855488,4.830508475,7.627118644
179,2,Size2,Anton,B4,13228,695.0193325,78,281,95.00143637,58.89994343,6.610169492,23.81355932
180,3,Size2,Anton,B4,239340.5,3435.574804,1526,243,1718.906205,291.1504071,129.3220339,20.59322034
181,1,Size2,Azzuro,B1,160678.5,2080.15345,845,269,1153.967969,176.2841907,71.61016949,22.79661017
182,2,Size2,Azzuro,B1,189638,2627.027681,970,380,1361.950589,222.6294645,82.20338983,32.20338983
183,3,Size2,Azzuro,B1,305409.5,2706.295586,375,1064,2193.403476,229.3470835,31.77966102,90.16949153
184,4,Size2,Azzuro,B1,240415.5,2833.221553,359,1052,1726.626688,240.1035215,30.42372881,89.15254237
185,5,Size2,Azzuro,B1,495204,3515.74429,447,1239,3556.478024,297.9444314,37.88135593,105
186,6,Size2,Azzuro,B1,41057.5,921.5117539,66,59,294.8685722,78.09421643,5.593220339,5
187,7,Size2,Azzuro,B1,143432.5,1998.947387,384,1014,1030.109882,169.4023209,32.54237288,85.93220339
